Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,Category,2,1,0,28,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,Category,5,1,1,36,0,tools.descartes.teastore.entities.Category,tools.descartes.teastore.entities.Category
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,getId,3,1,0,46,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,setId,3,1,1,54,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,getName,3,1,0,63,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,setName,3,1,1,71,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,getDescription,3,1,0,79,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,setDescription,3,1,1,87,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,hashCode,6,1,0,98,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Category,equals,16,5,1,109,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,ImageSize,2,1,0,26,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,ImageSize,4,1,2,32,0,tools.descartes.teastore.entities.ImageSize,tools.descartes.teastore.entities.ImageSize
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,ImageSize,4,1,1,45,0,tools.descartes.teastore.entities.ImageSize,tools.descartes.teastore.entities.ImageSize
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,getWidth,3,1,0,56,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,setWidth,6,2,1,64,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,getHeight,3,1,0,75,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,setHeight,6,2,1,83,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,getPixelCount,3,1,0,94,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,parseImageSize,22,4,1,102,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,hashCode,7,1,0,134,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,equals,19,6,1,143,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,ImageSize,toString,3,1,0,165,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,Order,2,1,0,37,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,Order,12,1,1,44,0,tools.descartes.teastore.entities.Order,tools.descartes.teastore.entities.Order
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getId,3,1,0,63,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setId,3,1,1,72,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getUserId,3,1,0,82,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setUserId,3,1,1,91,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getTime,3,1,0,101,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setTime,3,1,1,110,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getTotalPriceInCents,3,1,0,120,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setTotalPriceInCents,3,1,1,129,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getAddressName,3,1,0,139,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setAddressName,3,1,1,148,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getAddress1,3,1,0,158,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setAddress1,3,1,1,167,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getAddress2,3,1,0,177,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setAddress2,3,1,1,186,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getCreditCardCompany,3,1,0,196,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setCreditCardCompany,3,1,1,205,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getCreditCardNumber,3,1,0,215,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setCreditCardNumber,3,1,1,224,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,getCreditCardExpiryDate,3,1,0,234,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,setCreditCardExpiryDate,3,1,1,243,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,hashCode,7,1,0,258,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Order,equals,19,6,1,272,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,OrderItem,2,1,0,30,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,OrderItem,7,1,1,37,0,tools.descartes.teastore.entities.OrderItem,tools.descartes.teastore.entities.OrderItem
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,getId,3,1,0,51,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,setId,3,1,1,60,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,getProductId,3,1,0,70,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,setProductId,3,1,1,79,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,getQuantity,3,1,0,89,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,setQuantity,3,1,1,98,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,getUnitPriceInCents,3,1,0,108,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,setUnitPriceInCents,3,1,1,117,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,getOrderId,3,1,0,127,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,setOrderId,3,1,1,136,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,hashCode,8,1,0,152,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,OrderItem,equals,22,7,1,167,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,Product,2,1,0,31,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,Product,7,1,1,39,0,tools.descartes.teastore.entities.Product,tools.descartes.teastore.entities.Product
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,getId,3,1,0,53,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,setId,3,1,1,62,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,getCategoryId,3,1,0,72,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,setCategoryId,3,1,1,81,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,getName,3,1,0,91,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,setName,3,1,1,100,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,getDescription,3,1,0,110,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,setDescription,3,1,1,119,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,getListPriceInCents,3,1,0,129,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,setListPriceInCents,3,1,1,138,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,hashCode,7,1,0,153,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,Product,equals,19,6,1,167,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,User,2,1,0,30,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,User,7,1,1,37,0,tools.descartes.teastore.entities.User,tools.descartes.teastore.entities.User
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,getId,3,1,0,51,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,setId,3,1,1,60,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,getUserName,3,1,0,70,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,setUserName,3,1,1,79,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,getPassword,3,1,0,89,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,setPassword,3,1,1,98,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,getRealName,3,1,0,108,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,setRealName,3,1,1,117,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,getEmail,3,1,0,127,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,setEmail,3,1,1,136,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,hashCode,12,2,0,151,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities,User,equals,26,8,1,169,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,SessionBlob,3,1,0,22,0,tools.descartes.teastore.entities.message.SessionBlob,tools.descartes.teastore.entities.message.SessionBlob
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getUID,3,1,0,29,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setUID,3,1,1,37,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getSID,3,1,0,45,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setSID,3,1,1,53,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getToken,3,1,0,61,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setToken,3,1,1,69,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setMessage,3,1,1,77,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getMessage,3,1,0,85,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getOrder,3,1,0,93,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setOrder,3,1,1,101,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,getOrderItems,3,1,0,109,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.entities.message,SessionBlob,setOrderItems,3,1,1,117,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthCartRest,addProductToCart,25,3,2,45,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthCartRest,removeProductFromCart,16,4,2,83,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthCartRest,updateQuantity,10,3,3,110,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthUserActionsRest,placeOrder,40,3,8,50,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthUserActionsRest,login,19,2,3,120,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthUserActionsRest,logout,7,1,1,155,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AuthUserActionsRest,isLoggedIn,3,1,1,172,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,setup,51,1,0,49,0,tools.descartes.teastore.auth.rest.AbstractStoreRestTest,tools.descartes.teastore.auth.rest.AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,dismantle,8,3,0,125,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockValidPostRestCall,8,1,2,142,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockInValidGetRestCall,3,1,2,151,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockValidGetRestCall,8,1,2,155,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockCategories,11,2,1,164,0,tools.descartes.teastore.auth.rest.AbstractStoreRestTest,tools.descartes.teastore.auth.rest.AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockProduct106,9,1,0,176,0,tools.descartes.teastore.auth.rest.AbstractStoreRestTest,tools.descartes.teastore.auth.rest.AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockInvalidProduct,3,1,0,186,0,tools.descartes.teastore.auth.rest.AbstractStoreRestTest,tools.descartes.teastore.auth.rest.AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,AbstractStoreRestTest,mockProduct107,9,1,0,191,0,tools.descartes.teastore.auth.rest.AbstractStoreRestTest,tools.descartes.teastore.auth.rest.AbstractStoreRestTest
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,runTest,144,1,0,23,1,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,mockUser1,9,1,0,193,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,mockInvalidUser,3,1,0,203,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,mockCreateOrderItems,3,1,0,208,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,CartTest,mockCreateOrder,3,1,0,215,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,EmptyAuthStartup,EmptyAuthStartup,2,1,0,40,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,EmptyAuthStartup,contextDestroyed,2,1,1,47,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,EmptyAuthStartup,contextInitialized,5,1,1,55,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,LoginLogoutTest,runTest,29,1,0,24,1,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,LoginLogoutTest,mockCreateOrderItems,3,1,0,70,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,LoginLogoutTest,mockCreateOrder,3,1,0,74,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.rest,LoginLogoutTest,mockUser1,9,1,0,78,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,BCryptProvider,BCryptProvider,2,1,0,12,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,BCryptProvider,checkPassword,3,1,2,19,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ConstantKeyProvider,getKey,3,1,1,28,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,IKeyProvider,getKey,0,1,1,28,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ISecurityProvider,getKeyProvider,0,1,0,27,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ISecurityProvider,secure,0,1,1,34,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ISecurityProvider,validate,0,1,1,43,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ISessionIdGenerator,getSessionId,0,1,0,11,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,RandomSessionIdGenerator,getSessionId,3,1,0,15,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProvider,getKeyProvider,3,1,0,20,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProvider,secure,9,2,1,25,0,tools.descartes.teastore.auth.security.ShaSecurityProvider,tools.descartes.teastore.auth.security.ShaSecurityProvider
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProvider,blobToString,9,1,1,36,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProvider,validate,13,3,1,45,0,tools.descartes.teastore.auth.security.ShaSecurityProvider,tools.descartes.teastore.auth.security.ShaSecurityProvider
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProvider,getSha512,18,2,1,61,0,tools.descartes.teastore.auth.security.ShaSecurityProvider,tools.descartes.teastore.auth.security.ShaSecurityProvider
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ConstantKeyProviderTest,test,4,1,0,17,1,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.security,ShaSecurityProviderTest,test,13,1,0,17,1,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.startup,AuthStartup,AuthStartup,2,1,0,41,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.startup,AuthStartup,contextDestroyed,3,1,1,48,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.auth.startup,AuthStartup,contextInitialized,5,1,1,57,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,AbstractCache,20,4,4,48,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getCachedStorage,3,1,0,77,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getEntries,3,1,0,85,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,findInEntries,3,1,1,93,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getData,28,4,2,97,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getMaxCacheSize,3,1,0,129,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,setMaxCacheSize,17,3,1,134,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getCurrentCacheSize,11,1,0,155,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,getFreeSpace,3,1,0,167,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,hasStorageFor,3,1,1,172,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,cacheData,18,4,1,177,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,uncacheData,11,2,1,198,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,dataIsCachable,3,1,1,210,0,,
TeaStore-1.2.0-53c6efa,tools.descartes.teastore.image.cache,AbstractCache,dataIsInCache,3,1,1,215,0,tools.descartes.teastore.image.cache.AbstractCache,tools.descartes.teastore.image.cache.AbstractCache
